id,question,answer,follow-up,relation,generated_follow_up
3410,"[ELI5] Why is an angular displacement not a vector, but an infinitesimal one is?","The top answer [here](https://physics.stackexchange.com/questions/146897/if-angular-velocity-angular-acceleration-are-vectors-why-not-angular-displace) is pretty solid. The tl;dr is not to worry about it if you're not a mathematician.  Basically angular displacement is a rotation. And rotations don't commute. Which means they can't be vectors because mathematicians have said that one of the rules for vectors is that they have to commute under addition. So you can't use vectors, you have to use matrices.  Could we define vectors in a different way? Sure. But mathematicians have gone with that.  There are a few things like this where things that we treat as vectors or think of as vectors (outside mathematics) don't fit the strict definitions of vectors, but provided we don't tell the mathematicians it is all fine. Angular velocity and magnetic fields, for example, don't strictly meet the mathematical definition of a vector, but they are close enough that no one else cares - in these examples the things don't transform the 'right' way under reflections or similar transformations. Rotations are even worse at pretending to be a vector than these things, so the difference is a bigger deal.  The infinitesimal angular displacement is ""allowed"" to be a vector(ish) because it does commute up to second order terms. So if it is small enough the difference isn't noticeable.","The link is very helpful. In particular, I believe the second answer too, which proceeds to explain that the infinitesimal angular displacement has a direction, which is the axis which it is turned. Does that mean that its direction is supposed to be the axis perpendicular to the plane where our point rotates? If so, it would also make sense that the angular velocity also has the same direction, even if as you were saying, we see them as vectors even if they don't strictly follow the definition of a vector",Strongly Related,"> Basically angular displacement is a rotation. And rotations don't commute.  So you can't use vectors, you have to use matrices.  But what about the infinitesimal angular displacement?  Is it not a vector?"
3410,"[ELI5] Why is an angular displacement not a vector, but an infinitesimal one is?","The top answer [here](https://physics.stackexchange.com/questions/146897/if-angular-velocity-angular-acceleration-are-vectors-why-not-angular-displace) is pretty solid. The tl;dr is not to worry about it if you're not a mathematician.  Basically angular displacement is a rotation. And rotations don't commute. Which means they can't be vectors because mathematicians have said that one of the rules for vectors is that they have to commute under addition. So you can't use vectors, you have to use matrices.  Could we define vectors in a different way? Sure. But mathematicians have gone with that.  There are a few things like this where things that we treat as vectors or think of as vectors (outside mathematics) don't fit the strict definitions of vectors, but provided we don't tell the mathematicians it is all fine. Angular velocity and magnetic fields, for example, don't strictly meet the mathematical definition of a vector, but they are close enough that no one else cares - in these examples the things don't transform the 'right' way under reflections or similar transformations. Rotations are even worse at pretending to be a vector than these things, so the difference is a bigger deal.  The infinitesimal angular displacement is ""allowed"" to be a vector(ish) because it does commute up to second order terms. So if it is small enough the difference isn't noticeable.","The link is very helpful. In particular, I believe the second answer too, which proceeds to explain that the infinitesimal angular displacement has a direction, which is the axis which it is turned. Does that mean that its direction is supposed to be the axis perpendicular to the plane where our point rotates? If so, it would also make sense that the angular velocity also has the same direction, even if as you were saying, we see them as vectors even if they don't strictly follow the definition of a vector",Strongly Related,"So if we could transform the angular displacement into a vector, would it be possible to do that?"
3411,Eli5 - what does “misting” a plant do?,"You mean misting an orchid or some other plant once a day? Absolutely nothing. The water evaporates so fast that it doesn't affect the plant at all, just spray a bit on your arm and see how fast you're dry again. Unless you have a permanent misting system it won't do anything for the plant, though people think it helps with humidity as most houseplants are tropical.","So when my plant says it wants to be humid and I mist it, I’m literally not doing anything to help it’s humidity?",Related,">You mean misting an orchid or some other plant once a day? Absolutely nothing. The water is so concentrated that it doesn't affect the plant at all.    >I spray a bit on your arm, see how fast you're dry again.  >  >You mean it doesn’t affect the plants at all?  >"
3411,Eli5 - what does “misting” a plant do?,"You mean misting an orchid or some other plant once a day? Absolutely nothing. The water evaporates so fast that it doesn't affect the plant at all, just spray a bit on your arm and see how fast you're dry again. Unless you have a permanent misting system it won't do anything for the plant, though people think it helps with humidity as most houseplants are tropical.","So when my plant says it wants to be humid and I mist it, I’m literally not doing anything to help it’s humidity?",Related,But what does that have to do with humidity?
3411,Eli5 - what does “misting” a plant do?,"You mean misting an orchid or some other plant once a day? Absolutely nothing. The water evaporates so fast that it doesn't affect the plant at all, just spray a bit on your arm and see how fast you're dry again. Unless you have a permanent misting system it won't do anything for the plant, though people think it helps with humidity as most houseplants are tropical.","So when my plant says it wants to be humid and I mist it, I’m literally not doing anything to help it’s humidity?",Related,How do you know that it doesn't affect the plant?
3411,Eli5 - what does “misting” a plant do?,"You mean misting an orchid or some other plant once a day? Absolutely nothing. The water evaporates so fast that it doesn't affect the plant at all, just spray a bit on your arm and see how fast you're dry again. Unless you have a permanent misting system it won't do anything for the plant, though people think it helps with humidity as most houseplants are tropical.","So when my plant says it wants to be humid and I mist it, I’m literally not doing anything to help it’s humidity?",Related,So it's just a spray that I can put on my arm and rub in the dirt?
3411,Eli5 - what does “misting” a plant do?,"You mean misting an orchid or some other plant once a day? Absolutely nothing. The water evaporates so fast that it doesn't affect the plant at all, just spray a bit on your arm and see how fast you're dry again. Unless you have a permanent misting system it won't do anything for the plant, though people think it helps with humidity as most houseplants are tropical.","So when my plant says it wants to be humid and I mist it, I’m literally not doing anything to help it’s humidity?",Related,So it's just water?
3411,Eli5 - what does “misting” a plant do?,"You mean misting an orchid or some other plant once a day? Absolutely nothing. The water evaporates so fast that it doesn't affect the plant at all, just spray a bit on your arm and see how fast you're dry again. Unless you have a permanent misting system it won't do anything for the plant, though people think it helps with humidity as most houseplants are tropical.","So when my plant says it wants to be humid and I mist it, I’m literally not doing anything to help it’s humidity?",Related,Is there a way to reverse the effects?
3412,ELI5: what are the main reasons a local Big Bang explosion is unlikely?,"Others? Yea, all of them. It would defy literally every single thing we've directly observed about the universe. No one can list all of those things.",How would it defy CMB observations for example?,Related,"I think I phrased my question poorly. I meant, if we had a massive bang, wouldn't it be caused by a massive meteorite impact?"
3412,ELI5: what are the main reasons a local Big Bang explosion is unlikely?,"Others? Yea, all of them. It would defy literally every single thing we've directly observed about the universe. No one can list all of those things.",How would it defy CMB observations for example?,Related,">Others? Yea, all of them. No one can list all of those things.  >No one can.    >It would defy literally every single thing we've directly observed about the universe.  The universe is made of matter and energy.  It is made up of a bunch of things that are made of nothing but matter and matter.  If we could build a universe big enough to contain all of that, we would need a lot of energy to make it.  And we have none.  We have no idea how much energy is in the universe, and we don't know how much is left.  So we can't know.  But we know that nothing is made out of nothing.  That's why we can build a very large universe."
